name,symbol,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,timestamp,EMA,RSI,MACD
Stratis,STRAX,156261761.40625417,156261761.40625417,,2016-08-12T00:00:00.000Z,62,195,1.089153944958204,18498161.62705535,-15.2316,-0.59860606,4.56220255,1.73417399,19.76171845,52.3678861,124.42526433,170193113.88173935,0.0105,170193113.88,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,1.0794601192283781,59.647129195722464,0.003671005061591126
VeThor Token,VTHO,70378354179.0,70378354179.0,,2018-07-30T00:00:00.000Z,59,196,0.002417331201989,11219605.54358799,-52.6252,0.54388191,1.48682884,43.17268139,76.22511623,117.96390012,91.20101769,170127791.50153324,0.0105,170127791.5,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.0023843790455001716,54.62885809994363,-1.6436608079139874e-06
Amp,AMP,42227702186.0,99213408535.0,99444125026.0,2020-09-08T00:00:00.000Z,120,197,0.0039638510458509,37524502.84877483,44.2041,-0.75127253,-1.0791729,2.65168051,101.15966368,172.96661012,132.95135352,167384321.4738588,0.0103,394181698.99,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.003937115941771771,53.87249483240163,4.142137036943806e-06
BORA,BORA,993750000.0,1205750000.0,,2019-03-18T00:00:00.000Z,28,198,0.1640971269700049,9607922.89419049,-44.962,0.50024503,1.15905576,-5.40512106,13.1073745,44.74372812,49.16968067,163071519.92644238,0.01,197860110.84,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.16426713521988992,53.1336266004838,-8.152070045611137e-05
UMA,UMA,74792676.5730256,116311590.99150562,,2020-05-25T00:00:00.000Z,195,199,2.1762412295252087,10828970.90767895,-13.3604,-1.09924596,6.78796713,9.84449251,24.75358576,68.45125625,60.21941694,162766906.42476252,0.01,253122079.79,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,2.2022173473655964,44.38728600690237,0.00030206775577035216
Open Campus,EDU,229791667.67745,1000000000.0,1000000000.0,2023-04-21T08:06:26.000Z,93,200,0.7063719909368592,14091305.50401756,-8.1671,-0.06835999,4.72940478,-4.04047304,35.17051014,70.24902401,70.59295331,162318397.79802147,0.01,706371990.94,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.7042507223523599,57.21892866355517,0.000815985846687517
Lido Staked ETH,stETH,9239799.53145705,9239799.53145705,,2020-12-23T00:00:00.000Z,76,201,2293.6008170023265,38611335.79152345,-36.5327,0.16688528,5.384311,2.07565908,13.3981681,47.68784354,41.59143781,21192411754.2876,0.0,21192411754.29,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,2259.0753420372735,87.33041544829669,13.10330818413513
Wrapped TRON,WTRX,88432464642.99852,88432509417.90787,,2017-09-13T00:00:00.000Z,23,202,0.1049353172728441,1118864.00402727,8.9015,-0.15432932,2.80712707,1.17583252,-0.48974584,24.03982578,25.45501219,9279688734.53262,0.0,9279693433.0,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,0.10392148845945424,80.28605266287458,0.00039103577495218367
Wrapped Bitcoin,WBTC,154844.15798527,154844.15798527,,2019-01-30T00:00:00.000Z,1598,203,43108.40529042459,199344603.4695372,40.6898,-0.03384467,4.86608627,-0.30669125,18.85806172,60.55264665,63.28623959,6675084719.283554,0.0,6675084719.28,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,42852.95744265883,72.04076857071834,73.74087874350516
Wrapped EOS,WEOS,1110971418.8749,1110971418.8749,,2017-07-01T00:00:00.000Z,4,204,4.344695513315829,8.5363838,226.9773,0.01230878,2.8760256,1.91651571,13.32216114,224.9732605,384.04048054,4826832539.007898,0.0,4826832539.01,2023-12-14T13:00:00.000Z,2023-12-14T13:00:00,4.252209190581085,99.36601409507566,0.033793122351688964
Wrapped HBAR,WHBAR,33576848013.37187,50000000000.0,50000000000.0,2019-09-17T00:00:00.000Z,11,205,0.0811404424558511,570047.65846866,71.5016,-0.12658371,8.742257,20.80563648,38.68051094,73.02309388,62.05130423,2724440304.0778594,0.0,4057022122.79,2023-12-14T12:59:00.000Z,2023-12-14T13:00:00,0.07944551527006204,86.92359083902795,0.000925862859760887
